raw_DATE,label_DATE,raw_temp_C,predict_temp_C
2016-10-09 21:53:00,2016-10-08 21:53:00,18.9,19.10252115435342
2016-10-09 22:53:00,2016-10-08 22:53:00,16.7,16.385950440031102
2016-10-09 23:53:00,2016-10-08 23:53:00,16.1,15.518280128100535
2016-10-10 00:53:00,2016-10-09 00:53:00,15.6,14.423367939887955
2016-10-10 01:53:00,2016-10-09 01:53:00,15.6,13.728003363327927
2016-10-10 02:53:00,2016-10-09 02:53:00,15.0,13.830814293020648
2016-10-10 03:53:00,2016-10-09 03:53:00,13.9,13.739487198540518
2016-10-10 04:53:00,2016-10-09 04:53:00,13.9,13.137925225524972
2016-10-10 05:53:00,2016-10-09 05:53:00,13.9,12.961884196643883
2016-10-10 06:53:00,2016-10-09 06:53:00,15.0,13.695583255206099
2016-10-10 07:53:00,2016-10-09 07:53:00,16.7,16.82776509897626
2016-10-10 08:53:00,2016-10-09 08:53:00,17.2,19.58313401045659
2016-10-10 09:53:00,2016-10-09 09:53:00,20.0,22.524998177532403
2016-10-10 10:53:00,2016-10-09 10:53:00,21.1,24.52117768856221
2016-10-10 11:53:00,2016-10-09 11:53:00,21.1,25.351419353234196
2016-10-10 12:53:00,2016-10-09 12:53:00,22.2,25.861795682809905
2016-10-10 13:53:00,2016-10-09 13:53:00,22.2,27.163495620497095
2016-10-10 14:53:00,2016-10-09 14:53:00,22.2,26.61427823165471
2016-10-10 15:53:00,2016-10-09 15:53:00,21.1,26.091196207274674
2016-10-10 16:53:00,2016-10-09 16:53:00,19.4,23.661920740802703
2016-10-10 17:53:00,2016-10-09 17:53:00,17.2,20.97167605754469
2016-10-10 18:53:00,2016-10-09 18:53:00,16.1,18.9971370896859
2016-10-10 19:53:00,2016-10-09 19:53:00,15.6,19.205490401695542
2016-10-10 20:53:00,2016-10-09 20:53:00,15.6,18.225127488714843
2016-10-10 21:53:00,2016-10-09 21:53:00,15.0,17.3784607289505
2016-10-10 22:53:00,2016-10-09 22:53:00,15.6,15.898703147932862
